Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Return_1,Return_2,open-close,high-open,williams_r,dif,dea,macd,CCI,volume_change,williams_1,low-open,CCI_HHV,chazhi,Return_3,Return_4,Return_5,high+dif,macd_condition,shifted_condition1,shifted_condition2,deaRewrite,difRewrite,macd_back,williams_condition1,williams_condition2,williams_condition3,williams_condition4,williams_points,basic_Open_point
1682992800000,326.47,326.62,325.29,325.49,44100.69,1682996399999,14369742.0432,17785,22297.81,7264776.3795,0,-0.001044578942517533,-0.006666871486067209,0.0,325.61698915481276,,0.0,0.0,0.0,,1.0,,324.2869891548128,,,-0.004915665611846824,-0.006543979845770978,-0.0058680758241421395,326.62,False,False,False,False,False,1,False,False,False,False,0,0
1682996400000,325.49,325.49,324.45,325.15,42420.04,1682999999999,13787335.6473,18752,18187.73,5911623.4803,0,-0.005628171613101597,-0.0038751345532830723,0.0,324.48895432877134,,-0.027122507122498973,-0.005424501424499795,-0.04339601139599836,,0.9742668545480517,,323.4489543287713,,,-0.005505151468552864,-0.004828540673535271,-0.006397047516530784,325.4628774928775,False,True,False,True,True,0,False,False,False,False,0,0
1683000000000,325.14,325.15,323.25,323.32,55240.96,1683003599999,17902180.9106,21754,21875.91,7090456.0501,0,0.0017629592972905888,0.00012371644191519382,0.0,324.14437090189284,,-0.19404615222271104,-0.043148831584142046,-0.301794641277138,,1.1644228487476698,,322.24437090189286,,,0.0008041568724483203,-0.0007732277619695658,0.001453668192502868,324.95595384777727,False,True,False,True,True,0,False,False,False,False,0,0
1683003600000,323.32,323.93,322.36,323.89,62125.47,1683007199999,20073321.9889,27651,31675.5,10235691.2389,0,-0.0016363580227854294,-0.0009571150699311565,-0.0,322.9317598567415,,-0.27714534821609504,-0.08994813491053265,-0.37439442661112476,,1.187059922911873,,321.3617598567415,,,-0.0025317237333662454,-0.0003087467967518784,-0.0002778721170767081,323.6528546517839,False,True,False,True,True,0,False,False,False,False,0,0
1683007200000,323.89,324.24,322.86,323.36,33364.13,1683010799999,10795505.1491,17790,17233.26,5576903.8641,0,0.0006803562592774939,-0.0008968332508659712,0.0,323.23836095992084,,-0.3813724066357622,-0.14823298925557857,-0.4662788347603673,,0.7251217385269575,,321.85836095992084,,,0.0013297872340425742,0.0013607125185551637,0.002443097476496671,323.85862759336425,False,True,False,True,True,0,False,False,False,False,0,0
1683010800000,323.37,324.39,322.96,323.58,44240.68,1683014399999,14322022.3469,21132,23870.54,7727471.4923,0,-0.001576117188948609,0.0006489894307436689,-0.0,323.3906489894307,,-0.4411358010485742,-0.2068135516141777,-0.468644498868793,,0.974005153412577,,321.96064898943075,,,0.0006798936893504769,0.0017615427405896322,0.0015143086717349932,323.9488641989514,False,True,False,True,True,0,False,False,False,False,0,0
1683014400000,323.58,323.62,322.57,323.07,58950.09,1683017999999,19037593.7154,28804,26791.09,8651687.6901,0,0.0022286191846968995,0.0022595722289287714,0.0,322.6184213947442,,-0.5236155453771403,-0.2701739503667702,-0.5068831900207401,,1.1806319002461443,,321.5684213947442,,,0.003342928777045173,0.003095304423190021,-0.0011143095923484498,323.09638445462286,False,True,False,True,False,0,False,False,False,False,0,0
1683018000000,323.07,323.85,322.86,323.79,39564.7,1683021599999,12789022.1975,17258,22005.16,7113850.3108,0,3.088421507764571e-05,0.0011118317427961234,-0.0,322.85222366348563,,-0.524833401527701,-0.32110584059895636,-0.4074551218574892,,0.8513015062363212,,321.8622236634856,,,0.0008647580221747821,-0.0033354952283888967,0.002316316130825535,323.3251665984723,False,False,False,True,False,0,False,False,False,False,0,0
1683021600000,323.8,323.87,323.02,323.8,29337.14,1683025199999,9488960.3445,13458,15703.57,5079308.7283,0,0.0010809141445335573,0.0008338480543544837,0.0,322.87,,-0.5190088341068417,-0.36068643930053346,-0.31664478961261655,,0.7197047702089905,,322.02,,,-0.003366275478690648,0.002285361334156915,0.002470660901791264,323.35099116589316,False,False,True,False,False,0,False,False,False,False,0,0
1683025200000,323.8,324.4,323.66,324.15,38436.04,1683028799999,12459928.4534,14959,21814.36,7072040.2232,0,-0.0002467993213018173,-0.004442387783433589,-0.0,323.4010797470307,,-0.48061056807506475,-0.3846712650554397,-0.1918786060392501,,0.9612091926846263,,322.6610797470307,,,0.0012031466913467322,0.001388246182323139,-0.0016041955884620758,323.9193894319249,False,False,True,False,False,0,False,False,False,False,0,0
